Cultivar,H_Max,H_Max_unscaled,H_over_R,H_over_V,H_over_V_40,H_over_V_60,Leaf_angle_0,Leaf_angle_1,Leaf_angle_2,Leaf_angle_3,Leaf_angle_count,Main_leaf_angle,R_Max,R_Max_unscaled,R_over_V,R_over_V_40,R_over_V_60,Ring Diameter,Scale,V_100,V_100_unscaled,V_40,V_40_unscaled,V_60,V_60_over_V_40,V_60_unscaled,V_over_V_40,V_over_V_60,plane_projection_area,plane_projection_area_unitless
Wheat_Kukri_D4_2023-06-28-1953_fused_output_cluster_4,21.41270813,0.707576843,1.238758402,0.110052291,0.394159941,0.219572843,20.60575588,,,,1,20.60575588,17.28562091,0.571198421,0.088840803,0.31818952,0.219572843,,30.26202503,194.5684907,0.00702067,54.32492218,0.001960222,97.51983838,1.795121548,0.003518836,3.581569617,1.995168306,,
Wheat_Kukri_D4_2023-06-28-1953_fused_output_cluster_5,27.89788058,0.92187752,3.343280953,0.118408346,0.263472214,0.186373595,26.07173686,19.16728918,,,2,19.16728918,8.344461916,0.275740368,0.03541681,0.078806483,0.186373595,,30.26202503,235.6073842,0.008501488,105.8854752,0.003820696,149.6879459,1.413677803,0.005401232,2.225115236,1.573990362,,
Wheat_Kukri_D4_2023-06-28-1953_fused_output_cluster_6,24.9934309,0.825900807,2.313621101,0.074200753,0.282578929,0.10748698,23.74064505,20.52649332,,,2,20.52649332,10.80273295,0.356973234,0.032071264,0.122137081,0.10748698,,30.26202503,336.8352715,0.012154122,88.44761009,0.00319148,232.525195,2.628959616,0.008390272,3.80830269,1.448596877,,
Wheat_Kukri_D5_2023-06-28-1809_fused_output_cluster_0,27.49118996,0.882654323,2.445912444,0.231513094,0.698637778,0.519251054,16.40415337,19.5493972,13.64339392,,3,13.64339392,11.23964598,0.360869141,0.094653059,0.285634827,0.519251054,,31.14604351,118.7457238,0.003930152,39.34970429,0.001302365,52.94392712,1.345472045,0.001752296,3.01770308,2.242858252,,
Wheat_Kukri_D5_2023-06-28-1809_fused_output_cluster_2,19.63396161,0.630383811,1.151462281,0.118565856,0.251680863,0.213854787,25.8051588,16.64000841,,,2,16.64000841,17.0513285,0.547463709,0.102969813,0.218574996,0.213854787,,31.14604351,165.5954104,0.005480746,78.01134083,0.002581957,91.80978295,1.176877387,0.003038647,2.12270945,1.803679359,,
Wheat_Kukri_D5_2023-06-28-1809_fused_output_cluster_3,12.81929489,0.411586624,0.555213109,0.062483245,0.178441925,0.129706904,33.51200236,,,,1,33.51200236,23.08896293,0.741312871,0.112539211,0.321393573,0.129706904,,31.14604351,205.1637174,0.006790346,71.8401513,0.002377708,98.83278754,1.375731896,0.003271089,2.855836377,2.075866952,,
Wheat_Kukri_D5_2023-06-28-1809_fused_output_cluster_5,23.42499079,0.752101652,1.643255358,0.334200408,0.894788121,0.643668654,10.8546174,9.238182875,,,2,9.238182875,14.25523469,0.457690065,0.203377039,0.544521651,0.643668654,,31.14604351,70.09264561,0.002319871,26.17937166,0.000866464,36.39293391,1.390137792,0.001204504,2.677399845,1.925996013,,
Wheat_Kukri_D5_2023-06-28-1809_fused_output_cluster_6,18.81828143,0.604194925,3.960896066,0.314293224,0.653493569,0.511169036,18.1469738,19.14996442,,,2,19.14996442,4.751016213,0.152539959,0.079349021,0.164986296,0.511169036,,31.14604351,59.8749193,0.001981693,28.7964294,0.000953081,36.81420453,1.278429489,0.001218447,2.079248037,1.626408069,,
Wheat_Kukri_D6_2023-06-28-1741_fused_output_cluster_2,22.05532184,0.726559936,3.039943602,0.145917859,0.343435753,0.268992947,9.479512315,13.7662404,,,2,13.7662404,7.255174676,0.239004413,0.048000186,0.112974383,0.268992947,,30.35581888,151.1488856,0.005403549,64.21964414,0.002295842,81.99219375,1.276746311,0.002931208,2.353623842,1.843454586,,
Wheat_Kukri_D6_2023-06-28-1741_fused_output_cluster_3,28.15501551,0.927499786,5.279263446,0.436137234,3.129168968,0.896677894,13.54207015,14.58547584,,,2,14.58547584,5.333133267,0.175687346,0.082613273,0.592728323,0.896677894,,30.35581888,64.55540445,0.002307846,8.997601535,0.000321663,31.3992524,3.489735823,0.001122518,7.174734755,2.05595355,,
Wheat_Kukri_D6_2023-06-28-1741_fused_output_cluster_4,24.12321826,0.794681849,1.739141213,0.111251351,0.223413342,0.178124325,23.37611968,22.71180298,,,2,22.71180298,13.87076453,0.456939231,0.063969131,0.128461875,0.178124325,,30.35581888,216.8352829,0.007751827,107.9757283,0.003860115,135.429107,1.254255092,0.004841569,2.008185417,1.601098078,,
Wheat_Kukri_D6_2023-06-28-1741_fused_output_cluster_5,22.42778319,0.738829787,1.883196242,0.226214345,0.560216806,0.423341224,22.87727708,8.74922639,,,2,8.74922639,11.90942435,0.39232756,0.120122555,0.297481905,0.423341224,,30.35581888,99.1439477,0.003544381,40.03411345,0.001431213,52.97802797,1.323322122,0.001893956,2.476486655,1.871416349,,
Wheat_Kukri_D7_2023-06-28-2046_fused_output_cluster_1,20.06377984,0.638780416,1.278892987,0.099093054,0.270931176,0.206840995,18.00968979,22.4108868,,,2,22.4108868,15.68839617,0.499479176,0.07748346,0.211848199,0.206840995,,31.40950998,202.4741296,0.006534104,74.05489526,0.002389848,97.00098298,1.309852409,0.003130348,2.734108648,2.087341008,,
Wheat_Kukri_D7_2023-06-28-2046_fused_output_cluster_2,30.87848458,0.983093484,2.644216045,0.154540508,0.418028112,0.258215874,12.07999874,13.17238196,,,2,13.17238196,11.67774647,0.371790151,0.058444736,0.158091512,0.258215874,,31.40950998,199.8083545,0.006448076,73.86700488,0.002383785,119.5839903,1.618909424,0.003859131,2.704974364,1.670862078,,
Wheat_Kukri_D7_2023-06-28-2046_fused_output_cluster_3,26.32293135,0.838056097,2.28041597,0.091747316,1.356629049,0.159164043,35.15650253,18.23608038,,,1,35.15650253,11.54303939,0.367501416,0.04023271,0.594904205,0.159164043,,31.40950998,286.9068289,0.009258858,19.40319011,0.000626166,165.3823998,8.523464383,0.005337106,14.78658031,1.734808717,,
Wheat_Kukri_D7_2023-06-28-2046_fused_output_cluster_4,23.42181881,0.745691952,2.207371537,0.130360679,0.308549776,0.222665025,16.7975925,12.84026379,,,2,12.84026379,10.61072793,0.337818958,0.059056972,0.139781532,0.222665025,,31.40950998,179.6693533,0.005798164,75.90936916,0.002449694,105.1885848,1.385712804,0.003394573,2.366892985,1.708068929,,
Wheat_Kukri_D7_2023-06-28-2046_fused_output_cluster_5,20.93975374,0.666669227,5.026243147,0.197393833,0.378131194,0.272917634,23.39484678,16.37884631,,,2,16.37884631,4.166084515,0.132637679,0.039272639,0.075231377,0.272917634,,31.40950998,106.0810939,0.003423375,55.37695403,0.001787087,76.72554327,1.385513967,0.002476033,1.915618072,1.382604663,,
Wheat_Kukri_D8_2023-06-28-2019_fused_output_cluster_0,23.48756516,0.735671064,1.982742112,0.114891138,0.328874724,0.253651961,18.16423966,22.92855171,,,2,22.92855171,11.84600106,0.371037191,0.057945578,0.165868633,0.253651961,,31.92672148,204.433218,0.006281863,71.41796989,0.002194545,92.59760931,1.296558968,0.002845357,2.862489907,2.207759137,,
Wheat_Kukri_D8_2023-06-28-2019_fused_output_cluster_2,21.32354494,0.667890217,1.153681746,0.105120373,0.305079403,0.225420035,21.68940375,20.02450364,,,2,20.02450364,18.4830392,0.578920677,0.091117306,0.264439829,0.225420035,,31.92672148,202.8488332,0.006233178,69.89506573,0.002147749,94.59471932,1.353381935,0.002906725,2.902191037,2.144399124,,
Wheat_Kukri_D8_2023-06-28-2019_fused_output_cluster_3,16.05826474,0.502972557,5.100435075,1.030471837,2.720792229,2.036449586,11.11609985,,,,1,11.11609985,3.148410775,0.098613657,0.202036066,0.533443165,2.036449586,,31.92672148,15.58340963,0.00047885,5.902054766,0.000181359,7.885422185,1.336046936,0.000242305,2.640336331,1.976230221,,
Wheat_Kukri_D8_2023-06-28-2019_fused_output_cluster_4,24.39544816,0.764107526,1.656676573,0.084895681,0.184260949,0.147405598,20.78334705,18.6947362,,,2,18.6947362,14.72553458,0.461229149,0.051244571,0.111223248,0.147405598,,31.92672148,287.3579435,0.00882999,132.3961927,0.004068296,165.4987901,1.250026808,0.005085479,2.170439631,1.736314467,,
Wheat_Kukri_D8_2023-06-28-2019_fused_output_cluster_5,26.20786388,0.820875513,3.676867858,0.185310676,0.585099545,0.477809519,21.38413091,15.82046915,,,2,15.82046915,7.127768767,0.223254015,0.050399058,0.159129881,0.477809519,,31.92672148,141.4266268,0.004345785,44.79214538,0.001376382,54.85002456,1.2245456,0.001685442,3.157397923,2.578424129,,
Wheat_Kukri_D9_2023-06-28-2117_fused_output_cluster_0,23.98938763,0.774553514,1.459579386,0.047539354,0.104963444,0.081760145,24.79885741,23.44403932,,,2,23.44403932,16.43582245,0.530668987,0.032570585,0.071913488,0.081760145,,30.97189181,504.6216562,0.016984888,228.5499284,0.007692684,293.4117555,1.283797189,0.009875846,2.207927431,1.719841304,,
Wheat_Kukri_D9_2023-06-28-2117_fused_output_cluster_1,22.86029937,0.738098257,1.70345988,0.233423012,0.793813614,0.531607833,21.01456465,16.95247964,,,1,21.01456465,13.41992238,0.433293596,0.13702877,0.466000769,0.531607833,,30.97189181,97.93507143,0.003296363,28.79806916,0.000969304,43.00218684,1.493231598,0.001447396,3.40075131,2.277443977,,
Wheat_Kukri_D9_2023-06-28-2117_fused_output_cluster_2,22.33903535,0.721268029,3.202987091,0.288378909,0.691312466,0.537775189,17.79852884,,,,1,17.79852884,6.974438145,0.225186055,0.090034365,0.215833672,0.537775189,,30.97189181,77.46417884,0.00260734,32.31394838,0.001087644,41.53972848,1.285504575,0.001398172,2.397236572,1.864821502,,
Wheat_Kukri_D9_2023-06-28-2117_fused_output_cluster_3,25.78356109,0.832482602,3.023912188,0.126686287,0.25529394,0.209237979,23.14395018,15.46076056,,,2,15.46076056,8.526557482,0.27529986,0.04189483,0.084425051,0.209237979,,30.97189181,203.5229038,0.006850308,100.9955862,0.003399376,123.2260088,1.220112813,0.004147622,2.01516632,1.651622947,,
Wheat_Gladius_B0_2023-06-27-2226_fused_output_cluster_0,23.95406335,0.778019178,2.087969283,0.150450928,0.370936173,0.270107358,27.41346593,13.8737324,,,2,13.8737324,11.47242134,0.37262003,0.072056102,0.177654037,0.270107358,,30.78852558,159.2151253,0.005455288,64.57731848,0.002212653,88.68349049,1.373291623,0.003038618,2.465496075,1.79531866,,
Wheat_Gladius_B0_2023-06-27-2226_fused_output_cluster_1,27.1106729,0.880544696,2.229789768,0.142619032,0.427960064,0.320493975,22.26885728,18.68465936,,,2,18.68465936,12.15839865,0.394900321,0.063960753,0.191928437,0.320493975,,30.78852558,190.0915502,0.006513226,63.34860462,0.002170553,84.59027317,1.335313914,0.00289837,3.000721979,2.247203409,,
Wheat_Gladius_B0_2023-06-27-2226_fused_output_cluster_3,27.17213244,0.882540879,2.325262717,0.158570054,0.42911966,0.282149,21.82392846,18.44229014,,,2,18.44229014,11.68561825,0.379544588,0.068194468,0.184546743,0.282149,,30.78852558,171.3572753,0.005871322,63.32064211,0.002169595,96.30419556,1.520897331,0.003299731,2.706183475,1.779333437,,
Wheat_Gladius_B0_2023-06-27-2226_fused_output_cluster_4,21.01600409,0.682592092,1.421921793,0.107507536,0.268119197,0.195407487,17.33258624,10.64989722,,,2,10.64989722,14.77999999,0.48004897,0.075607208,0.188561142,0.195407487,,30.78852558,195.4840079,0.006697991,78.38306363,0.002685688,107.5496361,1.372102992,0.003685041,2.493957225,1.817616636,,
Wheat_Gladius_B1_2023-06-27-2104_fused_output_cluster_2,21.7408544,0.736576527,1.713565966,0.099149467,0.253597596,0.166314962,32.92346835,13.00132918,,,2,13.00132918,12.68749195,0.429850115,0.057861482,0.147994067,0.166314962,,29.51608367,219.2735386,0.00852727,85.72973389,0.003333921,130.7209771,1.524803253,0.005083573,2.557730307,1.677416613,,
Wheat_Gladius_B1_2023-06-27-2104_fused_output_cluster_3,23.60888851,0.799865212,2.558212053,0.242269718,0.658352513,0.462504779,27.90532772,17.16831243,,,2,17.16831243,9.228667531,0.312665719,0.09470275,0.257348687,0.462504779,,29.51608367,97.44878037,0.00378966,35.86055803,0.001394572,51.04571792,1.423450184,0.001985103,2.717436251,1.909049071,,
Wheat_Gladius_B1_2023-06-27-2104_fused_output_cluster_5,26.10612188,0.884471062,3.561668117,0.124376996,0.250218116,0.205335888,25.91182412,12.06091875,,,2,12.06091875,7.329745788,0.248330567,0.034920995,0.070253069,0.205335888,,29.51608367,209.895099,0.008162555,104.3334603,0.004057396,127.1386224,1.218579562,0.00494426,2.011771663,1.650915316,,
Wheat_Gladius_B1_2023-06-27-2104_fused_output_cluster_6,21.53238456,0.729513604,4.938948681,0.38249372,0.955719102,0.643250272,26.23162809,16.42603683,,,2,16.42603683,4.359710123,0.147706253,0.07744436,0.193506587,0.643250272,,29.51608367,56.29474008,0.002189231,22.53003474,0.000876165,33.47434974,1.485765563,0.001301775,2.498653053,1.681727667,,
Wheat_Gladius_B1_2023-06-27-2104_fused_output_cluster_7,25.34058015,0.858534636,2.621184195,0.171693227,0.357158932,0.257399309,25.22355257,13.8287745,,,2,13.8287745,9.667607564,0.327536935,0.06550216,0.136258617,0.257399309,,29.51608367,147.5921943,0.005739674,70.95043091,0.002759172,98.44851659,1.387567564,0.003828538,2.080215616,1.499181495,,
Wheat_Gladius_B2_2023-06-27-0014_fused_output_cluster_0,25.51515993,0.836431193,2.371001141,0.090778478,0.181968865,0.144354879,26.73813537,17.12699524,,,2,17.12699524,10.76134444,0.352775534,0.038286982,0.076747692,0.144354879,,30.50479243,281.0705842,0.009901732,140.2171733,0.004939659,176.7530133,1.260566086,0.006226767,2.004537516,1.590188359,,
Wheat_Gladius_B2_2023-06-27-0014_fused_output_cluster_10,24.57382224,0.805572511,3.190605912,0.070654081,0.124794046,0.102892382,33.95854981,24.87000694,,,2,24.87000694,7.70192964,0.252482611,0.022144409,0.039112962,0.102892382,,30.50479243,347.8047094,0.012252684,196.9150208,0.006937047,238.830336,1.212859918,0.008413666,1.766268048,1.456283633,,
Wheat_Gladius_B2_2023-06-27-0014_fused_output_cluster_7,27.99701789,0.917790801,4.62112891,0.111506682,0.232411273,0.175186925,32.73082366,14.52646111,,,2,14.52646111,6.058480175,0.198607487,0.024129749,0.050293181,0.175186925,,30.50479243,251.0792831,0.00884518,120.4632524,0.004243756,159.8122572,1.326647372,0.005629967,2.084281124,1.571089023,,
Wheat_Gladius_B2_2023-06-27-0014_fused_output_cluster_8,25.74010121,0.843805159,3.728053845,0.247373513,0.537668664,0.410460487,19.69649981,13.82535122,,,2,13.82535122,6.904433864,0.226339316,0.066354598,0.144222344,0.410460487,,30.50479243,104.0535864,0.003665665,47.87353797,0.001686519,62.71030223,1.309915767,0.002209198,2.173509432,1.659274197,,
Wheat_Gladius_B2_2023-06-27-0014_fused_output_cluster_9,23.83419235,0.781326161,4.697956171,0.169711666,0.552025975,0.458623205,34.82977525,19.45414944,,,2,19.45414944,5.073310921,0.166311931,0.036124574,0.117503432,0.458623205,,30.50479243,140.4393283,0.004947485,43.17585297,0.001521026,51.96900657,1.203659059,0.001830797,3.25272852,2.702366999,,
Wheat_Gladius_B3_2023-06-27-2257_fused_output_cluster_0,30.5339689,1.013013791,4.333308889,0.170543375,0.346276144,0.269596401,28.21813807,14.29874711,,,2,14.29874711,7.046340265,0.233773732,0.039356385,0.07991033,0.269596401,,30.14171097,179.0393143,0.006537997,88.17808985,0.003220008,113.2580731,1.284424207,0.004135857,2.030428587,1.580808408,,
Wheat_Gladius_B3_2023-06-27-2257_fused_output_cluster_1,27.56442698,0.914494436,3.189468142,0.325248723,1.060303852,0.606963052,20.23638596,7.114118902,,,1,20.23638596,8.642327108,0.286723176,0.101975849,0.332439079,0.606963052,,30.14171097,84.74876318,0.003094779,25.99672437,0.000949325,45.4136819,1.746900158,0.001658376,3.259978525,1.866150456,,
Wheat_Gladius_B3_2023-06-27-2257_fused_output_cluster_2,24.28872547,0.805817742,1.521776462,0.148983092,0.537956723,0.354721742,20.03991229,,,,1,20.03991229,15.9607709,0.529524383,0.097900773,0.353505746,0.354721742,,30.14171097,163.0300806,0.005953386,45.14996172,0.001648746,68.47261559,1.516559771,0.002500421,3.61085756,2.380953016,,
Wheat_Gladius_B3_2023-06-27-2257_fused_output_cluster_3,26.31731225,0.873119389,2.645276959,0.239912048,0.586455875,0.412888323,26.49508823,,,,1,26.49508823,9.948792756,0.330067287,0.090694491,0.221699234,0.412888323,,30.14171097,109.6956674,0.004005768,44.87517879,0.001638711,63.73954111,1.420374087,0.002327583,2.444461959,1.720998701,,
Wheat_Gladius_B3_2023-06-27-2257_fused_output_cluster_4,21.01689565,0.697269497,1.8768217,0.252358363,0.574374837,0.421800323,21.98915875,13.44353586,,,2,13.44353586,11.19813121,0.37151611,0.134460489,0.30603591,0.421800323,,30.14171097,83.28194639,0.003041215,36.59090599,0.001336194,49.82664668,1.361722137,0.001819525,2.276028541,1.6714339,,
Wheat_Gladius_B4_2023-06-27-2235_fused_output_cluster_1,27.90509402,0.945788286,2.973813992,0.215482875,0.531538739,0.363826376,20.81853633,18.79079074,,,2,18.79079074,9.383604386,0.318038818,0.072460105,0.17873974,0.363826376,,29.50458832,129.5002861,0.005041991,52.49870234,0.002043995,76.6989308,1.460968126,0.002986212,2.466733087,1.688423616,,
Wheat_Gladius_B4_2023-06-27-2235_fused_output_cluster_2,24.44551464,0.828532646,3.642719032,0.166832089,0.578190046,0.338162175,30.17411918,18.77800717,,,2,18.77800717,6.710787856,0.227448958,0.04579878,0.158724854,0.338162175,,29.50458832,146.527654,0.005704938,42.27937652,0.001646114,72.28932278,1.70980106,0.002814527,3.465700443,2.026961221,,
Wheat_Gladius_B4_2023-06-27-2235_fused_output_cluster_3,27.12494954,0.919346823,5.147394927,0.315323949,0.719735088,0.443542979,18.44129639,12.06787462,,,2,12.06787462,5.269646089,0.178604291,0.061258938,0.139825115,0.443542979,,29.50458832,86.02248455,0.003349217,37.6874075,0.001467329,61.15517733,1.622695255,0.002381028,2.282525922,1.406626361,,
